ranking,username,categories,engagement,engagement_activity,followers,following,total_posts,channel_associated_on_bio,time_on_app_years,latest_post,post_type,likes_per_post,comments_per_post,partnership_posts,date_post
1,@anitta,"Art', 'Music', 'Singer'",0.7,4.435951027,63300000,3019,5191,1,10,1,caroussel,546000,8557,1,9/11/2022
1,@anitta,"Art', 'Music', 'Singer'",0.7,4.435951027,63300000,3019,5191,1,10,2,caroussel,1400000,14400,0,7/11/2022
1,@anitta,"Art', 'Music', 'Singer'",0.7,4.435951027,63300000,3019,5191,1,10,3,caroussel,829000,10000,1,5/11/2022
2,@whinderssonnunes,"Celebrity', 'Comedy', 'Comedian'",0.7,1.147392123,58400000,1859,2785,0,9,1,video,9928,113,1,8/11/2022
2,@whinderssonnunes,"Celebrity', 'Comedy', 'Comedian'",0.7,1.147392123,58400000,1859,2785,0,9,2,video,632000,5379,0,7/11/2022
2,@whinderssonnunes,"Celebrity', 'Comedy', 'Comedian'",0.7,1.147392123,58400000,1859,2785,0,9,3,video,22500,157,1,4/11/2022
3,@tatawerneck,"Actors', 'Artist'",0.4,6.831392453,53000000,2450,5634,0,10,1,video,42000,538,0,7/11/2022
3,@tatawerneck,"Actors', 'Artist'",0.4,6.831392453,53000000,2450,5634,0,10,2,video,1200000,30000,0,5/11/2022
3,@tatawerneck,"Actors', 'Artist'",0.4,6.831392453,53000000,2450,5634,0,10,3,video,2300000,48100,0,5/11/2022
4,@larissamanoela,"Celebrity', 'Art', 'Music', 'Actors'",0.2,1.05750547,45700000,2538,5378,1,7,1,video,4121,84,1,9/11/2022
4,@larissamanoela,"Celebrity', 'Art', 'Music', 'Actors'",0.2,1.05750547,45700000,2538,5378,1,7,2,caroussel,451000,1434,0,9/11/2022
4,@larissamanoela,"Celebrity', 'Art', 'Music', 'Actors'",0.2,1.05750547,45700000,2538,5378,1,7,3,video,24500,2141,1,9/11/2022
5,@virginia,"Art', 'Modeling', 'Humor', 'Celebrities', 'Film, Music & Books', 'Animals & Pets', 'Artist'",2.5,16.41761917,38600000,419,1931,0,10,1,picture,1100000,6138,0,9/11/2022
5,@virginia,"Art', 'Modeling', 'Humor', 'Celebrities', 'Film, Music & Books', 'Animals & Pets', 'Artist'",2.5,16.41761917,38600000,419,1931,0,10,2,caroussel,3700000,22700,0,8/11/2022
5,@virginia,"Art', 'Modeling', 'Humor', 'Celebrities', 'Film, Music & Books', 'Animals & Pets', 'Artist'",2.5,16.41761917,38600000,419,1931,0,10,3,video,1500000,8363,0,5/11/2022
6,@juliette,Artist',0.8,3.457982249,33800000,1864,1049,1,9,1,video,31000,2380,1,9/11/2022
6,@juliette,Artist',0.8,3.457982249,33800000,1864,1049,1,9,2,caroussel,777000,11900,1,8/11/2022
6,@juliette,Artist',0.8,3.457982249,33800000,1864,1049,1,9,3,caroussel,338000,8518,1,6/11/2022
7,@kevinho,"Art', 'Music', 'Singer'",0.15,2.12595,28000000,1004,381,1,9,1,video,242000,4646,0,4/11/2022
7,@kevinho,"Art', 'Music', 'Singer'",0.15,2.12595,28000000,1004,381,1,9,2,caroussel,94400,2522,0,9/8/2022
7,@kevinho,"Art', 'Music', 'Singer'",0.15,2.12595,28000000,1004,381,1,9,3,caroussel,250000,1698,0,18/06/2022
8,@gioewbank,"Celebrity', 'Modeling', 'Actors'",4,0.602023346,25700000,2142,7083,1,11,1,video,38500,533,1,8/11/2022
8,@gioewbank,"Celebrity', 'Modeling', 'Actors'",4,0.602023346,25700000,2142,7083,1,11,2,picture,93700,2297,1,8/11/2022
8,@gioewbank,"Celebrity', 'Modeling', 'Actors'",4,0.602023346,25700000,2142,7083,1,11,3,video,19500,190,1,8/11/2022
9,@viihtube,"Art', 'Modeling', 'Lifestyle', 'Celebrities', 'Humor', 'Game', 'Cars & Motorcycles'",2.39,7.648666667,24600000,1262,3300,1,10,1,video,87000,1558,0,8/11/2022
9,@viihtube,"Art', 'Modeling', 'Lifestyle', 'Celebrities', 'Humor', 'Game', 'Cars & Motorcycles'",2.39,7.648666667,24600000,1262,3300,1,10,2,picture,1500000,5447,0,8/11/2022
9,@viihtube,"Art', 'Modeling', 'Lifestyle', 'Celebrities', 'Humor', 'Game', 'Cars & Motorcycles'",2.39,7.648666667,24600000,1262,3300,1,10,3,caroussel,286981,586,0,6/11/2022
