ranking,username,categories,engagement,engagement_activity,followers,following,total_posts,channel_associated_on_bio,time_on_app_years,latest_post,post_type,likes_per_post,comments_per_post,partnership_posts,date_post
31,@sameragi,"Education, 'Coaching'",0,8.085142857,1400000,2735,2628,1,10,1,picture,78300,375,0,10/11/2022
31,@sameragi,"Education, 'Coaching'",0,8.085142857,1400000,2735,2628,1,10,2,video,32200,56,0,9/11/2022
31,@sameragi,"Education, 'Coaching'",0,8.085142857,1400000,2735,2628,1,10,3,caroussel,2224,37,0,9/11/2022
32,@luisapeleja,"Fashion', 'Lifestyle', 'Modeling'",0,2.223809524,126000,1470,8529,1,11,1,video,524,12,0,10/11/2022
32,@luisapeleja,"Fashion', 'Lifestyle', 'Modeling'",0,2.223809524,126000,1470,8529,1,11,2,caroussel,814,2,0,7/11/2022
32,@luisapeleja,"Fashion', 'Lifestyle', 'Modeling'",0,2.223809524,126000,1470,8529,1,11,3,video,1428,22,0,1/11/2022
33,@anachiyo,"Humor', 'Comedy' ",0,14.55557809,493000,1243,486,0,6,1,video,11300,240,0,10/11/2022
33,@anachiyo,"Humor', 'Comedy' ",0,14.55557809,493000,1243,486,0,6,2,video,28800,563,1,9/11/2022
33,@anachiyo,"Humor', 'Comedy' ",0,14.55557809,493000,1243,486,0,6,3,video,29800,1056,0,9/11/2022
34,@amandafitas,"Education', 'Mental Health', 'Coaching' ",0,0.852142857,2100000,381,4959,1,7,1,video,6952,33,0,9/11/2022
34,@amandafitas,"Education', 'Mental Health', 'Coaching' ",0,0.852142857,2100000,381,4959,1,7,2,video,154,9,0,9/11/2022
34,@amandafitas,"Education', 'Mental Health', 'Coaching' ",0,0.852142857,2100000,381,4959,1,7,3,video,10500,247,0,9/11/2022
35,@lih.santinello,"Humor', 'Comedy' ",0,9.06561086,88400,882,603,0,10,1,video,2625,28,0,9/11/2022
35,@lih.santinello,"Humor', 'Comedy' ",0,9.06561086,88400,882,603,0,10,2,video,3168,246,0,9/11/2022
35,@lih.santinello,"Humor', 'Comedy' ",0,9.06561086,88400,882,603,0,10,3,video,1886,61,0,8/11/2022
36,@brunabiancardi,"Lifestyle', 'Fashion', 'Modeling'",0,4.478833333,1800000,715,1511,0,0,1,caroussel,23500,204,1,9/11/2022
