ranking,username,alias,categories,engagement,followers,following,total_posts,latest_post,post_type,likes_per_post,comments_per_post,partnership_posts,channel_associated_on_bio,subscription_date,content
1,@gessicakayane,gessicakayane,"['Humor', 'Celebrities', 'Animals & Pets']",2,15.2,854,2783,1,video,351000,4043,0,no,09/2012,
1,@gessicakayane,gessicakayane,"['Humor', 'Celebrities', 'Animals & Pets']",2,15.2,854,2783,2,video,401000,2538,0,no,09/2012,
1,@gessicakayane,gessicakayane,"['Humor', 'Celebrities', 'Animals & Pets']",2,15.2,854,2783,3,caroussel,96600,1790,0,no,09/2012,
2,@andressasuita,andressasuita,"['Modeling', 'Celebrities', 'Animals & Pets', 'Fashion']",2.19,15.7,1805,3453,1,picture,505000,3084,no,youtube,03/2012,
2,@andressasuita,andressasuita,"['Modeling', 'Celebrities', 'Animals & Pets', 'Fashion']",2.19,15.7,1805,3453,2,video,34500,763,yes,youtube,03/2012,
2,@andressasuita,andressasuita,"['Modeling', 'Celebrities', 'Animals & Pets', 'Fashion']",2.19,15.7,1805,3453,3,caroussel,89900,712,no,youtube,03/2012,
3,@leonardo,leonardo,['Music'],1,15.9,147,2288,1,video,10700,226,yes,music,08/2012,
3,@leonardo,leonardo,['Music'],1,15.9,147,2288,2,video,874000,29800,no,music,08/2012,
3,@leonardo,leonardo,['Music'],1,15.9,147,2288,3,video,69900,965,no,music,08/2012,
4,@taina,taina,"['Marketing and Advertising', 'Modeling']",3.07,16.1,1920,953,1,caroussel,486000,2373,no,"youtube, twitter",,
4,@taina,taina,"['Marketing and Advertising', 'Modeling']",3.07,16.1,1920,953,2,video,212000,2127,no,"youtube, twitter",,
4,@taina,taina,"['Marketing and Advertising', 'Modeling']",3.07,16.1,1920,953,3,caroussel,642000,3294,no,"youtube, twitter",,
5,@cocielo,cocielo,"['Celebrity', 'Actors', 'Comedy', 'Humor']",2.4,16.8,1913,1917,1,caroussel,445000,2835,no,youtube,,
5,@cocielo,cocielo,"['Celebrity', 'Actors', 'Comedy', 'Humor']",2.4,16.8,1913,1917,2,picture,596000,2896,no,youtube,,
5,@cocielo,cocielo,"['Celebrity', 'Actors', 'Comedy', 'Humor']",2.4,16.8,1913,1917,3,video,697000,2956,yes,youtube,,
6,@jujusalimeni,jujusalimeni,"['Art', 'Modeling']",0.2,17.2,1013,9728,1,caroussel,108000,952,no,youtube,09/2011,
6,@jujusalimeni,jujusalimeni,"['Art', 'Modeling']",0.2,17.2,1013,9728,2,caroussel,211000,873,no,youtube,09/2011,
6,@jujusalimeni,jujusalimeni,"['Art', 'Modeling']",0.2,17.2,1013,9728,3,video,101000,0,yes,youtube,09/2011,
7,@lexa,lexa,"['Music', 'Singer', 'Celebrities', 'Film, Music & Books']",0.23,18.1,1330,7905,1,caroussel,163000,907,,music,,
7,@lexa,lexa,"['Music', 'Singer', 'Celebrities', 'Film, Music & Books']",0.23,18.1,1330,7905,2,video,64200,610,,music,,
7,@lexa,lexa,"['Music', 'Singer', 'Celebrities', 'Film, Music & Books']",0.23,18.1,1330,7905,3,video,37600,303,yes,music,,
8,@flaviapavanelli,flaviapavanelli,"['Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities']",0.8,18.4,1917,3098,1,picture,25300,312,no,no,01/2012,
8,@flaviapavanelli,flaviapavanelli,"['Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities']",0.8,18.4,1917,3098,2,caroussel,23500,355,yes,no,01/2012,
8,@flaviapavanelli,flaviapavanelli,"['Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities']",0.8,18.4,1917,3098,3,caroussel,70100,451,no,no,01/2012,
9,@luvadepedreiro,luvadepedreiro,"['Comedy', 'Humor']",9.13,18.6,374,15,1,video,188000,1913,yes,"youtube, tik tok, twitch",05/2021,
9,@luvadepedreiro,luvadepedreiro,"['Comedy', 'Humor']",9.13,18.6,374,15,2,video,1700000,31000,yes,"youtube, tik tok, twitch",05/2021,
9,@luvadepedreiro,luvadepedreiro,"['Comedy', 'Humor']",9.13,18.6,374,15,3,video,1200000,50200,yes,"youtube, tik tok, twitch",05/2021,
10,@kjapa,kjapa,['Actors'],6.9,19,540,28,1,picture,280000,361,no,no,,
10,@kjapa,kjapa,['Actors'],6.9,19,540,28,2,picture,128000,161,yes,no,,
10,@kjapa,kjapa,['Actors'],6.9,19,540,28,3,picture,274000,303,yes,no,,
11,@camilaqueiroz,camilaqueiroz,"['Art', 'Actors']",0.3,18.8,1101,1946,1,caroussel,183000,753,no,no,09/2011,Gypsy at heart
11,@camilaqueiroz,camilaqueiroz,"['Art', 'Actors']",0.3,18.8,1101,1946,2,caroussel,336000,1012,no,no,09/2011,um sol pra cada uma
11,@camilaqueiroz,camilaqueiroz,"['Art', 'Actors']",0.3,18.8,1101,1946,3,caroussel,199000,680,no,no,09/2011,"Ahhhh Noronha, você não sabe o quanto eu sonhei em te conhecer…"
12,@marimaria,marimaria,"['Beauty', 'Art', 'Styling', 'Artist']",1.6,19,1095,3209,1,video,61400,321,yes,youtube,,Nose Filter Contour
12,@marimaria,marimaria,"['Beauty', 'Art', 'Styling', 'Artist']",1.6,19,1095,3209,2,caroussel,1100000,2072,no,youtube,,
